tools (comparison order: row x column),M100-C000_CRA_C,M100-C100_CRA_C,M100-C010_CRA_C,M100-C010-R_CRA_C,M100-C020-R_CRA_C,M100-C030-R_CRA_C,M090-C010-R_CRA_C,M080-C010-R_CRA_C
M100-C000_CRA_C P Value,1.0,2.8719471245608474E-11,0.9528424295801989,0.20356484061118718,0.01949440970694305,0.002322230016116422,8.016964159196505E-8,9.313468884997178E-10
M100-C000_CRA_C Cohen D,0.0,Large,0.08941424991735474,Small,Medium,Large,Large,Large
M100-C000_CRA_C Cliff's delta,0.0,1.0,-0.008888888888888889,-0.19111111111111112,-0.3511111111111111,-0.4577777777777778,0.8066666666666666,0.92
M100-C100_CRA_C P Value,2.8719471245608474E-11,1.0,2.8719471245608474E-11,2.8719471245608474E-11,2.8719471245608474E-11,2.8719471245608474E-11,2.8719471245608474E-11,2.8719471245608474E-11
M100-C100_CRA_C Cohen D,Large,NaN,Large,Large,Large,Large,Large,Large
M100-C100_CRA_C Cliff's delta,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
M100-C010_CRA_C P Value,0.9528424295801989,2.8719471245608474E-11,1.0,0.13537778532322642,0.013549158006559425,0.002688839981756508,2.953694488994074E-8,9.444944826242363E-11
M100-C010_CRA_C Cohen D,0.08941424991735474,Large,0.0,Small,Medium,Large,Large,Large
M100-C010_CRA_C Cliff's delta,0.008888888888888889,1.0,0.0,-0.22444444444444445,-0.3711111111111111,-0.45111111111111113,0.8333333333333334,0.9733333333333334
M100-C010-R_CRA_C P Value,0.20356484061118718,2.8719471245608474E-11,0.13537778532322642,1.0,0.20356484061118718,0.03846924508795868,8.1210731472936E-9,3.878719567751432E-11
M100-C010-R_CRA_C Cohen D,Small,Large,Small,0.0,Small,Medium,Large,Large
M100-C010-R_CRA_C Cliff's delta,0.19111111111111112,1.0,0.22444444444444445,0.0,-0.19111111111111112,-0.3111111111111111,0.8666666666666667,0.9933333333333333
M100-C020-R_CRA_C P Value,0.01949440970694305,2.8719471245608474E-11,0.013549158006559425,0.20356484061118718,1.0,0.416135847078279,1.94330129765774E-9,3.5097591499777536E-11
M100-C020-R_CRA_C Cohen D,Medium,Large,Medium,Small,0.0,Small,Large,Large
M100-C020-R_CRA_C Cliff's delta,0.3511111111111111,1.0,0.3711111111111111,0.19111111111111112,0.0,-0.12222222222222222,0.9022222222222223,0.9955555555555555
M100-C030-R_CRA_C P Value,0.002322230016116422,2.8719471245608474E-11,0.002688839981756508,0.03846924508795868,0.416135847078279,1.0,1.347619682512402E-9,3.5097591499777536E-11
M100-C030-R_CRA_C Cohen D,Large,Large,Large,Medium,Small,0.0,Large,Large
M100-C030-R_CRA_C Cliff's delta,0.4577777777777778,1.0,0.45111111111111113,0.3111111111111111,0.12222222222222222,0.0,0.9111111111111111,0.9955555555555555
M090-C010-R_CRA_C P Value,8.016964159196505E-8,2.8719471245608474E-11,2.953694488994074E-8,8.1210731472936E-9,1.94330129765774E-9,1.347619682512402E-9,1.0,0.1536672354850901
M090-C010-R_CRA_C Cohen D,Large,Large,Large,Large,Large,Large,0.0,0.18844189061150596
M090-C010-R_CRA_C Cliff's delta,-0.8066666666666666,1.0,-0.8333333333333334,-0.8666666666666667,-0.9022222222222223,-0.9111111111111111,0.0,-0.21444444444444444
M080-C010-R_CRA_C P Value,9.313468884997178E-10,2.8719471245608474E-11,9.444944826242363E-11,3.878719567751432E-11,3.5097591499777536E-11,3.5097591499777536E-11,0.1536672354850901,1.0
M080-C010-R_CRA_C Cohen D,Large,Large,Large,Large,Large,Large,0.18844189061150596,0.0
M080-C010-R_CRA_C Cliff's delta,-0.92,1.0,-0.9733333333333334,-0.9933333333333333,-0.9955555555555555,-0.9955555555555555,0.21444444444444444,0.0
